address,spot_hype
0x21edbf36b09bb67feddc9915856862c213df37e0,21456.55
0x512ef44daded0745b38f2e6e1157c8be03cf557b,21213.82
0x0423b4b2acb4f219ae4a270abd5dde2360e455bb,21184.36131077
0xbc6126c267c9b7ea9666e0584c970086e779415b,21180.14984698
0xceec48581b3145a575508719f45da07dc57fa7ce,21000.0
0xb6aef9cfb465011493c9978d2efebaf5abd166be,20954.43617698
0x68cee3e57bae218780274fb22248f35528b94b6c,20855.4408141
0xb5cf6c54887e03716d1c6ebdb0e9f49d0c3bed6a,20824.92997712
0x4916efbf56bcaea1130b2a631f6f093095f614a2,20700.54383747
0xf1863bd6d60a8f4b5f583ec54009af6a044877bf,20664.67966929
0x1f6f87cb92bbdfd512784e3a23f5c1d22d20aa4e,20632.07588165
0x80be646c17ae7a4a2a40cf08642e0d1020653eb9,20500.65359938
0x810cc4084a961173963e5fec9249203abaf31de1,20479.28959489
0x3a401beab2dfd7a5da0012cd3b056c9bd8b3b123,20282.48962245
0x1732951b80c737dbb8f367e83e530623bb612e54,20208.39888232
0x29b3340f6c8e292a65ab5067632fe7e65fcb7b12,20122.60395307
0xd5ef38a6bfe29e37fde0e05c3b5d053d35cde31c,20025.88900899
0x6ba889db7f923622d3548f621ecc2054b80c1817,20024.45016739
0xaac091f502a773498fb9336f41500fd13098245b,20004.93967471
0x5a11e49896b8b0b1d1588cfe3e2f20d5bc9329cb,20000.4589686
0xeb87d07ac7245a2f9e578f8284dcae84cd838408,19999.51
0x007d76eec0ba411ce873a8819df50dd443d967a0,19993.00077825
0xee7ada00c9e5f654c8f8ea0f355a1f3c50942732,19991.59100323
0xb848bb2b31a303cfc2d7bd2b39c71140c8d0ccdf,19921.13441539
0x18194850b4c0dac10af055fb5be772233be376b0,19897.65522819
0x130b9e5610e0eb1cbffdcdd82ff30c909cbc0a85,19632.70747673
0xc83c9f6907180b3efc54ef2032d66ef211854a10,19185.14175486
0x48aed0373ea8d0010a4d584637c08ce74e4d6adb,19160.61217712
0xf71521e7978560424ff72f4e6e1a1c0abdccdaed,19150.00410203
0xd57573db24a75a803d07beefdc8ea1cad7659e43,19036.28181552
0xe70225a5edc31ce40d40b60b70f442431c9f192a,18812.50795624
0x32e4443f707e32a6d90587ff2331bc02964ac2e6,18784.5903654
0xf1ca0933d1a7d639bdffba8003c52657f0322f69,18705.49014721
0xaef743663b85c4efddca2c15d2995adfd3185d2e,18626.0001
0x9d1537725fc75aa73a61996b37b7a44220eeb791,18517.83449521
0xe97b0792297592275bde0abfb9bf39f7971a8365,18482.74383735
0xf6b7c8c4b75c68d97e7d1499b572966cfd050ec3,18481.53
0x6f2f6e2b8901891cb5b35fae00c7191f128a8221,18338.30686121
0x49dacc0013d1821c38586726ae214fcf73e4d151,18332.0
0x381fe486d87c7f2633c777f1b5be3105a2a51744,18294.89036788
0x0236d527d176e05b865e19c0cd8be96e75712338,18270.60330179
0x512e1d1d3d17eea0a87ab9de07a2316466ea6a75,18214.2646549
0xea2ddc0f28d799b01ec9cccee89487e0917eb353,18152.21641621
0xbafae6afa1f7b0001860f627354130c859031b76,18081.32793824
0x08f40de52320fd17c3da311cc5dc0b04f7ac2d27,18007.63701782
0xaeba876642ed796131f2786f3d1f20b962cb69f6,17990.9949109
0x63f0a206a625637e759abfc97f92a596911709df,17864.19246733
0xa346b7cf6f10cc6a19b54ec9723c4cb513bca811,17852.41464963
0x8888888192a4a0593c13532ba48449fc24c3beda,17705.48476065
0xc158ecc1d3059d0fd9144f9b37b326c12e9cb2cd,17554.29110637
0x0ae0b5594da29f0d3e08bbcdf007579d3bb5fd52,17543.18294374
0x4bc08a5be852d4903e8d5f929962780bd2384d6d,17188.70732461
0x0320e2787d5c62a4a81f219dfb3c5abdf6265362,17185.18963062
0xc6df8428e2b9bade2485e9733da37f423b7238aa,16961.84581407
0xd77f18d0018297d5d2adff1c5ac743b7f9c56b5f,16880.97154489
0x342f75d8522b7b6dabb16435ae3f8186b8607e03,16812.75839299
0x469e21e89e0e02fff2c92918ef8155877504cace,16793.35641712
0x7e1baa2c22b034a958a4e4e462fe348e17237fae,16693.84568868
0x25d7472c234111bebb50b8a987b6316629fc6bf6,16690.84743571
0xb3537852db9e0102cae0c418f1c6d67d69fba7b2,16603.74105108
0x18faacc6d6a9665eb1058cea20081bfec4c21abc,16600.87821939
0xc916baeea46bbbb8f65ef07a7ebc46420e141954,16485.13866527
0x8c2826e0783ba361eae59f35af12f340df014697,16456.69303649
0x6d5f7043e40e1459f2c80611f59fc4e3501c60ed,16373.05731697
0xe71cbf47fff309813bcea54f3ecf49a5f129264d,16282.24000014
0x3e8734ec146c981e3ed1f6b582d447dde701d90c,16117.99355136
0xe920c302615a79e91b26cc9de4d06f18e608a992,16052.2901
0xd10e2b1b66001bd4086d61e43e836ab9c168fd9a,16000.30505013
0x49821b90c125076793c1f2011ea7a0fb83a3d856,15992.39707343
0x9babc2703e3cb143aa921759a5214e9380e16e5a,15926.62369423
0x2cd9c6d5f5b42f35aeaa94549364414f745b321a,15883.29298392
0xb25215731fb8cdb7c615ce296ed88fe92675a61d,15881.0601
0x41dcc0961297502662f5dc0a71332e6664c32249,15740.0098096
0xb85449999054316f940ad94decebf537d0d4b193,15656.0674796
0xff20751c79692f2728f5e52c39a37f1054e85874,15614.01318553
0xe3ccbb32f577854cec1616d3740e56eefd76bf2e,15609.34001036
0x999510ad3dd8c94a6659d6401d983137565283e3,15592.72
0x176cecb6bc1f54cb03044cdf5310eafeccb2eeb8,15510.61663859
0x118030edbbfde018d7ce43c62138fc271f5202d3,15500.00220713
0xfbd4fd96c1f21de4afa7a5347d29ce168cb2a0a5,15492.82911077
0x79877d496bc3bc05451dc8a8fb96d19a5c962451,15404.8401
0xa5e95f209ac3e7740369268c1f1c39573685e633,15383.13999209
0x3849effee1514c71b04ca989b747cccc6c73dd5c,15343.84753607
0x900fdbe3a293458a9aa7330feabe753922a46e12,15236.33626935
0x99999999666044e4947cb725715e2a19762e15fe,15179.68244984
0x0c869de0696ab24be963d0199256d5dff5f385ba,15101.06453
0x9cd695d5a7b0c8c54e9f67a8cc433e0f3972e548,15053.07171
0xf191539a2c4ba0af951438bb6abfa0625c7df2ef,14999.9998707
0xb30d3f4ea0d2b586fde38dd71545765f2400e910,14999.35664048
0x9ad97de20cfc6cf3c2fc5047e832cb4932374898,14890.35056363
0xf1419f352846b723720424dc8bda9e80342ea01d,14767.33712388
0x297946c26171008ba8c0e5642814b5fe6b842ab7,14663.81104061
0xc9e531e0469d10435c90ded6994b710df7286416,14661.80755718
0x591b0e054b6a136818519587ad16b464fe7e2483,14591.3481684
0x3ed521948024dc2c2a57b76c0d56d4327abcefaf,14583.31861771
0x17893b602308cda59654a4be058028ac51bb507b,14529.40405453
0xd56cc099bc642644e0e9e1781629b5629fbb19fc,14497.12055248
0x795cfd1b03eafc11c4ec958b8a94cfc9aa64a242,14404.31545505
0xb1d7bbf53f05135dd3abe2e6a15645147c481b36,14400.00556926
0x5002a9667bde533076fb665fcd561649d3f1a24c,14361.45
0x6844b345852a97d87c2bed4e0c123ee5c935c000,14356.35941437
0x9279737f23ea2c30820b61eba072002a405a526f,14300.57775949
0x1e771e1b95c86491299d6e2a5c3b3842d03b552e,14295.00000006
0x18263ea9aada7d91c26babcba7f33cdfb8abe050,14125.26410412
0xd5563ea4cedaf6013027304fbb83f9ab59f463f0,14018.25879976
0x7ad5a815ef44d56527d9ab08bd6b0ea44a603b3b,13990.22884244
0x407c2ec4ce9ca1f91b607033602d0c1bed68a25f,13978.08341976
0xb8034344d32b459915996cfd0173d6aa04523ff9,13894.33319
0xb6e51bf4cdb70970ce1fb181f459d1044ff79b53,13841.21551286
0x1ebea28a2bf565a5923a2d5a57f79033c34a48bf,13800.10001071
0x147c8cee1477c815aa73506c5587df2ef6780b18,13699.84924079
0xe5aaacff3f4f94d5009da0503144027e75a96232,13685.32531232
0x50be4f4a59593221810af975c66936257a04e931,13660.44191307
0x866d4903b256ce7e7caac46a91e83128bb0fd6e1,13580.86591982
0x87d9c2d9990a9f3a18f1377ff20d9945f9eb3792,13517.09865604
0x261b48832568119fcb4ad3f6e0ce87737e81a464,13500.22003383
0xd4df385cb3cb54db4c477741a0e8425536096ec8,13487.20108737
0xbaadba1fc458ebd2074f878684111c02e9c45193,13398.09693405
0xe7cc346afada85f75a64a47c97e099bcc5b8b08d,13377.99581876
0x7a51ce9751493a2448c3ebc76667c6e7cf27900d,13351.89180784
0x85101bbcbbf09cd50d299f662448c3ae509592ee,13269.22581166
0x3a48261298f848b1bd8c1047c7583afdb1c4c96f,13152.88004402
0x3d240f2ac6ec95eb089020a025aa0963acf45e36,13138.18530787
0x9c6d50a8b8b5e7ad864b38148e05ed2a807deeab,13053.60843408
0xb017dfa71235599107f59fa160d807d4215b9345,13004.0129
0xbb10bda01f56b1604f2f024f2d18fcaf5d2b20b0,13000.00971
0x5f67ba2a2eec4139668133d19e0d19c697d33c99,13000.0
0x6f4bf82ad0bbeead5f2b3c6740308e5751f2700d,12907.31981852
0x235b8d08908a8f64f0a324ff6f3e496c4756c247,12901.72570138
0xff04026530372ee46aa122dacb8093218051f3cd,12830.46391205
0x0bddd486600c5e6e40055f662a553649f71b28f6,12830.0670051
0x2ed8e7d874453b1136d54d84022200ec48172116,12820.26954691
0x6fc17b0bde7f00233edcd5dc1d66c482c4259b8c,12799.910812
0x4f9755eae81892c9e2a7da28c8526aac29666c83,12756.61742842
